status,giftCardId,merchantName,giftCardTitle,verificationStatus,categorySlug,occasionSlug,relevance,ruleId,evidenceSurface,evidenceSnippet,officialUrl,reason,actionId
REVIEW,cmta1faxg001vq8iy39nw940w,Mentzos,Mentzos Gift Card,NEEDS_REVIEW,jewelry-watches,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ετε δωρεαν μεταφορικα συνολικο ποσο 0 00 ολοκληρωση παραγγελιας αρχικη προιοντα gift card gift card φιλτρα κατηγοριες χρυσα κοσμηματα δαχτυλιδι μονοπετρο σειρε ανδρικο κολιε μενταγιον βραχιολι βραχιολι βεργα σταυρος σκουλαρικια σκουλαρικια κρικοι ,https://www.mentzos.gr/products/gift-card,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1fza40049q8iyylawabqi,Stan & Stefan,Stan & Stefan δωροκάρτα,VERIFIED,jewelry-watches,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ρολογιαανδρικα ρολογιαγυναικεια ρολογιαγυαλια ηλιουαλυσιδες γυαλιων last pieces ανδρικα ανδρικα κολιεανδρικα βραχιολιαανδρικα δαχτυλιδια τηλεφωνικες παραγγελιες 2311242419 αρχικη gift card gift card top 2 ειδη φιλτρα ταξινομηση τιμη αυξουσα τιμη φθινουσα οριστε αυξουσα κατευθυν,https://www.stan-stefan.gr/gr/gift-card.html,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1g1hr004dq8iyf2v0rt9r,Me and Joe,Me and Joe Δωροκάρτα Gift Card,VERIFIED,fashion,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,60022πληρωμη σε 3 ατοκες δοσεις με klarna επομενο me and joe μενου γυαλια ηλιου γυναικεια ανδρικα νεες αφιξεις bestsellers δωροκαρτεςγυναικειαανδρικα γυαλια ορασεως νεες αφιξεις γυναικεια ανδρικα bestsellers γυαλια προστασιας απο,https://www.meandjoe.com/collections/gift-cards,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1g1hr004dq8iyf2v0rt9r,Me and Joe,Me and Joe Δωροκάρτα Gift Card,VERIFIED,fashion,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,μη σε 3 ατοκες δοσεις με klarna επομενο me and joe μενου γυαλια ηλιου γυναικεια ανδρικα νεες αφιξεις bestsellers δωροκαρτεςγυναικειαανδρικα γυαλια ορασεως νεες αφιξεις γυναικεια ανδρικα bestsellers γυαλια προστασιας απο,https://www.meandjoe.com/collections/gift-cards,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1gdar005eq8iym6dznhq7,Haritidis,Haritidis Gift Card,NEEDS_REVIEW,jewelry-watches,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ατερα δωρα για νεογεννητα δωρα για τη νονα προσωποποιημενα δωρα επιλεγμενα δωρα για εκεινη δωρα για εκεινον δωρα για παιδια δωρα για φιλες δωροκαρτα αξεσουαρ γουρια γουρια αυτοκινητου γουρια για το σπιτι μπρελοκ στυλο γραφικη υλ,https://www.haritidis.gr/el/giftcard,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1gdar005eq8iym6dznhq7,Haritidis,Haritidis Gift Card,NEEDS_REVIEW,jewelry-watches,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,εογεννητα δωρα για τη νονα προσωποποιημενα δωρα επιλεγμενα δωρα για εκεινη δωρα για εκεινον δωρα για παιδια δωρα για φιλες δωροκαρτα αξεσουαρ γουρια γουρια αυτοκινητου γουρια για το σπιτι μπρελοκ στυλο γραφικη υλ,https://www.haritidis.gr/el/giftcard,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1gkq30066q8iy4xwfkmos,Dimasis,Gift Card - Δωροκάρτα,NEEDS_REVIEW,jewelry-watches,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,τογραφιων ασημενιες εικονες ασημενιες κορνιζες βρεφικα αξεσουαρ ρολογια ανδρικα γυναικεια caterpillar guess guess collection jcou lee cooper le dom maserati nixon oozoo saint honore προσφορες blog αρχικη δωροκαρτα τιτλος δωροκαρτας αξια 100 00 απο σε gift xxxx xxxx παρακαλουμε σημειωστε οτι μ,https://www.dimasis.gr/gift-card,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1gzev007oq8iyr3kfe0e4,Tsinekidis,Δωροκάρτα,NEEDS_REVIEW,jewelry-watches,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ειναι 110 00 sale προσθηκη στη wishlist προσθηκη στο καλαθιtommy hilfiger bruce ανδρικο two tone 1792193 129 00 original price was 129 00 120 00 η τρεχουσα τιμη ειναι 120 00 νεα προιοντα αρχικη σελιδα δωροκαρτα δωροκαρτα click to enlarge δωροκαρτα25 00 500 00 price range 25 00 through 500 ,https://tsinekidis.gr/product/dwrokarta/dorokarta/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1hdl9008mq8iy0bgrltgd,Anemos,Anemos Gift Card,VERIFIED,home,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ς πετσετες καπες βρεφικα αξεσουαρ χαλια ιδεες για δωρα γαμου βαφτισης επισκεψης για εκεινη για εκεινον για τη μαμα personalized gift card 0 anemos 0 offers εποχιακα καλοκαιρι πασχαλινα χριστουγεννιατικα υπνοδωματιο σε,https://anemos.gr/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1hdl9008mq8iy0bgrltgd,Anemos,Anemos Gift Card,VERIFIED,home,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,καπες βρεφικα αξεσουαρ χαλια ιδεες για δωρα γαμου βαφτισης επισκεψης για εκεινη για εκεινον για τη μαμα personalized gift card 0 anemos 0 offers εποχιακα καλοκαιρι πασχαλινα χριστουγεννιατικα υπνοδωματιο σε,https://anemos.gr/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1hpnc009wq8iyllivlokf,Bymeraki,Δωροκάρτα,NEEDS_REVIEW,kids-baby,for-kids,80,official-for-kids-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ας πανες αλλαγης εξοδου σαλιαρες καλαθακια οργανωσης φωλια κουνουπιερες θαλασσα παιδικα ποντσο πετσετα θαλασσης τσαντες θαλασσης δωροκαρτα κλεισιμο δωροκαρτα για να χαρισετε στα αγαπημενα σας προσωπα και να επιλεξουν ο τι επιθυμουν αρχικ,https://bymeraki.gr/product-category/wps_wgm_giftcard/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1hq38009yq8iyiiaeil9q,Cameoshatter,Δωροκάρτα,NEEDS_REVIEW,fashion,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ινα καπελα παναμα καπελα γαντια κοσμηματα κολιε βραχιολια σκουλαρικια καρφιτσες δωροκαρτα blog επικοινωνια αρχικη σελιδα καπελα ανδρικα καπελα δωροκαρτα δωροκαρτα69 00 160 00 τιμη καντε μια επιλογη697989120160εκκαθα,https://cameoshatter.gr/product/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1ib7s00c0q8iydisho748,Giannopoulos,Giannopoulos Gift Card,VERIFIED,fashion,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,αβαση στο περιεχομενο κλεισιμο μενου aw26 27 pre fall gifts gifts for him gifts for her gift card gift card 50 gift card 80 gift card 100 select your ammount aw26 27new arrivalsshop now aw26 27new arrivalsshop now,https://giannopoulos.gr/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1ib7s00c0q8iydisho748,Giannopoulos,Giannopoulos Gift Card,VERIFIED,fashion,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,απευθειας μεταβαση στο περιεχομενο κλεισιμο μενου aw26 27 pre fall gifts gifts for him gifts for her gift card gift card 50 gift card 80 gift card 100 select your ammount aw26 27new arrivalsshop now aw26 27new arrivalsshop now,https://giannopoulos.gr/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1ih5a00coq8iy028nylzo,Hotelshops,e-Gift Card - To Τέλειο δώρο,NEEDS_REVIEW,fashion,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,0 εκπτωσεις ανδρικα παπουτσια ανδρικα φουτερ ανδρικα παντελονια ανδρικα μπουφαν γυναικεια παπουτσια γυναικεια φορεματα tops γυναικεια παντελονια γυναικεια μπουφαν ολες οι εκπτωσεις νεες παραλαβες brands e gift card μενtopsκοντομανικες και αμανικες μπλουζεςshirtsφουτερ και μακρυμανικες μπλουζες,https://www.hotelshops.gr/el/e-gift-card.html,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1ih5a00coq8iy028nylzo,Hotelshops,e-Gift Card - To Τέλειο δώρο,NEEDS_REVIEW,fashion,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,onverse dickies νεες παραλαβες ολες οι νεες παραλαβες ολες οι νεες παραλαβες σε ανδρικα ολες οι νεες παραλαβες σε γυναικεια δωροκαρτα λογαριασμος wishlists επιστροφη προιοντων αναζητηση παραγγελιας αρχικη e gift card μεταβαση στο τελος της συλλογης εικονων μεταβαση στην αρχη της συλλογης εικονων,https://www.hotelshops.gr/el/e-gift-card.html,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1iy0a00ewq8iyav1zn7nb,Moelian,Moelian Gift Card,NEEDS_REVIEW,beauty,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,top of pagehomegift setsfor womenfor menbirthdaynew mother babymother s dayhalloweenchristmasgift cardbath beautyface bodymenbathcandlessummermother babygift cardfavorslog inegift card 25amount 25 50 100quantitybuy nownatural skincare gifts f,https://www.moelian.gr/gift-card,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1iy0a00ewq8iyav1zn7nb,Moelian,Moelian Gift Card,NEEDS_REVIEW,beauty,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,top of pagehomegift setsfor womenfor menbirthdaynew mother babymother s dayhalloweenchristmasgift cardbath beautyface bodymenbathcandlessummermother babygift cardfavorslog inegift card 25amount 25 50 100quantitybuy nownatural skincare gifts f,https://www.moelian.gr/gift-card,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1j5sk00fsq8iyl71inf5f,Oser,Oser Gift Card,NEEDS_REVIEW,fashion,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,e στο newsletter μας email αποδεχομαι την πολιτικη απορρητου oser showroom shop for women for man oser x accessories swimwear giftcard help επικοινωνια e mail προσαρμοσμενη παραγγελια αποστολες επιστροφες εντυπο επ,https://oser.gr/product/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1j5sk00fsq8iyl71inf5f,Oser,Oser Gift Card,NEEDS_REVIEW,fashion,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,arf gloves scrunchies socks oser x macramade swimwear bikini one piece swimwear for men it s your lucky day gift card my account λιστα επιθυμιων αν θελεις να γινεις oseraki ετοιμασου ερχεται κατευθ,https://oser.gr/product/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1jaht00gcq8iyymttuqej,Playroot,Δωροκάρτα,NEEDS_REVIEW,kids-baby,new-baby,80,official-new-baby-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,σαλονικη ωραριο δευτερα παρασκευη 09 00 15 00σαββατο 10 00 14 00 shopανα ηλικια βρεφικα ξυλινα παιχνιδια εκπαιδευτικα παιχνιδια montessori sensory play δωροκαρτα brands helpτροποι αποστολης τροποι πληρωμης πολιτικη επιστροφων οροι χρησης πολ,https://playroot.gr/product/giftcard/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1jtpy00iiq8iy3wykjo58,Vantaggio,Δωροκάρτα - Vantaggio,NEEDS_REVIEW,fashion,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ς βαλιτσες τσαντες πλατης αξεσουαρ κορδελες καπελα περικαρπια μπαλακια overgrip δωροκαρτα campaign 26 en el connect to your account language elen ανδρικα ανδρικα μαγιο ανδρικα σορτς ανδρικα μπλουζακια ανδρικες φορμες ανδρικες ζακετες ανδρικα μπουφανακια ανδρικα φουτερ ,https://vantaggio.gr/product/dorokarta/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1k7qi00k6q8iytw0avvi7,Elegance,Δωροκάρτα,NEEDS_REVIEW,fashion,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,mersmaajijolidonbip bipeuropanncalvin kleinderek roseptsspanxverdianipier mori sανδρικα παιδικαολαμαγιοdesignersmaajiπαιδικα αναζητηση 0 καλαθι αρχικηgift cardδωροκαρτα κατηγορια gift cardδωροκαρταin stock 50 00 200 00price range 50 00 through 200 00 αμεσα διαθεσιμο για να γιν,https://elegance.gr/product/giftcard/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1ke9500kwq8iyhmopp6q4,Tsakalino,Gift Card Tsakalino,NEEDS_REVIEW,kids-baby,new-baby,80,official-new-baby-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ες μαγιο αξεσουαρ κοριτσι 1 6 ετων κοριτσι 6 16 ετων κοριτσιδες ολα τα προιοντα gift card tsakalino τιμη εκπτωσης 100 τιμη τιμη βρεφικα βρεφικα ολα τα προιοντα για βρεφη μπουφαν φορμες εξοδου σετ ρουχων ζακετες φορμακια μπλ,https://tsakalino.gr/products/gift-card-tsakalino,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1krb300meq8iyewvehlr3,Idil,e-Gift card | IDIL,NEEDS_REVIEW,fashion,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,τσαντες ταξιδιου νεσεσερ ειδη ταξιδιου βαλιτσες τσαντες ταξιδιου νεσεσερ αρχικη gift card brands castaner lancaster flabelus γυναικεια τσαντες τσαντες χειρος τσαντες ωμου τσαντες crossbody clutch σακιδια πλατης μικ,https://www.idil.gr/gift-card,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1krb300meq8iyewvehlr3,Idil,e-Gift card | IDIL,NEEDS_REVIEW,fashion,for-him,75,official-for-him-explicit-v1:official_navigation_proximity,OFFICIAL_NAVIGATION_PROXIMITY,σπαντριγιες σανδαλια slingbacks ειδη ταξιδιου βαλιτσες τσαντες ταξιδιου νεσεσερ ανδρικα υποδηματα αρχικη gift card η εταιρεια καταστηματα blog videos επικοινωνια τροποι πληρωμης τροποι αποστολης,https://www.idil.gr/gift-card,NAVIGATION_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1kvpg00mwq8iywg5mlfel,Mimadastimargarita,Gift Card - Mη μαδάς τη μαργαρίτα,NEEDS_REVIEW,jewelry-watches,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,tement piecesτα πιο αγαπημεναμαργαριταριαβραχιολια ποδιουκοσμηματα με ματιαδωρο για εκεινηδωρο για εκεινονκοσμηματα με χρωμαlayeringminimalistgeometricκαρτα δωρου gift card απο σε αρχικησυλλογεςολες οι συλλογεςgift cardgift cardδωσε τη χαρα της επιλογης με μια gift card χαρισε στους αγαπημενους σου,https://mimadastimargarita.gr/product/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1kvpg00mwq8iywg5mlfel,Mimadastimargarita,Gift Card - Mη μαδάς τη μαργαρίτα,NEEDS_REVIEW,jewelry-watches,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY, πιο αγαπημεναμαργαριταριαβραχιολια ποδιουκοσμηματα με ματιαδωρο για εκεινηδωρο για εκεινονκοσμηματα με χρωμαlayeringminimalistgeometricκαρτα δωρου gift card απο σε αρχικησυλλογεςολες οι συλλογεςgift cardgift cardδωσε τη χαρα της επιλογης με μια gift card χαρισε στους αγαπημενους σου την ελευ,https://mimadastimargarita.gr/product/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1kz5j00naq8iyo9j5whw7,Paraphernalia,e-Gift Voucher,NEEDS_REVIEW,home,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,dles apothecary desk paper accessories books magazines gifting greeting cards e gift voucher gift voucher gift registry gifts for him gifts for her gifts under 25 the store about us contact gallery 0 0 0 product navigation gift,https://www.paraphernalia.gr/shop/product/gifting/gift-vouchers/egift-voucher/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1kz5j00naq8iyo9j5whw7,Paraphernalia,e-Gift Voucher,NEEDS_REVIEW,home,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,dles apothecary desk paper accessories books magazines gifting greeting cards e gift voucher gift voucher gift registry gifts for him gifts for her gifts under 25 the store about us contact gallery 0 0 0 product n,https://www.paraphernalia.gr/shop/product/gifting/gift-vouchers/egift-voucher/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1lzvj00raq8iye3ba3495,Mylittleland,Mylittleland Gift Card,NEEDS_REVIEW,kids-baby,for-kids,80,official-for-kids-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ο φαγητο για τη βολτα υπνος και φροντιδα gift box αξεσουαρ παιχνιδια montessori παιδικο δωματιο φροντιδα προτασεις για δωρα gift card εως 20 ευρω απο 20 εως 30 ευρω απο 30 εως 50 ευρω πανω απο 50 ευρω blog menu αρ,https://mylittleland.gr/product-category/protaseis-gia-dwra/giftcard/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1ma4m00seq8iy71vkx6rw,Lidon,Lidon Gift Card,NEEDS_REVIEW,jewelry-watches,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY, sale κολιε sale βραχιολια sale σκουλαρικια sale δαχτυλιδια sale μενταγιον sale ανδρικα summer essentials χαραξη αρχικη uncategorized gift card καντε κλικ για μεγεθυνση gift card 30 00 200 00 price range 30 00 through 200 00 δεν ξερεις τι δωρο να κανεις σε ε,https://lidon.gr/product/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1mseo00uaq8iyrfav970x,Crystalswan,Gift Card - Crystal Swan,NEEDS_REVIEW,jewelry-watches,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ay holiday gifts bridal collection δωρα γαμου δωρα επετειου δωρα γενεθλιων δωρα για εκεινον δωρα για νεους γονεις δωρα για παιδια δωρα για το σπιτι γραφειο δωρα για τη γιορτη της μητερας δωροκαρτα εκπτωσεις extra 10 εκπτωσεις αγαπημενα ο λογαριασμος μου νεα προιοντα κοσμηματα,https://www.crystalswan.gr/product-category/gifts/gift-card/,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1mtcc00ueq8iy4sz85qxi,Dahaproject,Dahaproject Gift Card,NEEDS_REVIEW,jewelry-watches,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ςαποστολες σε ολη την ελλαδα fab fa facebook f twitter twitter kατηγοριες new inγυναικειαανδρικαshop the lookgift cardεπικοινωνια πληροφοριες οροι χρησηςτροποι αποστολης επιστροφεςτροποι πληρωμηςπολ,https://www.dahaproject.gr/component/virtuemart/gift-card?Itemid=368,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1mtcc00ueq8iy4sz85qxi,Dahaproject,Dahaproject Gift Card,NEEDS_REVIEW,jewelry-watches,for-him,80,official-for-him-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ς σε ολη την ελλαδα fab fa facebook f twitter twitter kατηγοριες new inγυναικειαανδρικαshop the lookgift cardεπικοινωνια πληροφοριες οροι χρησηςτροποι αποστολης επιστροφεςτροποι πληρωμηςπολ,https://www.dahaproject.gr/component/virtuemart/gift-card?Itemid=368,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
REVIEW,cmta1nygv00ywq8iyut96fn9h,Vintageneedle,Vintage Needle Gift Card,NEEDS_REVIEW,arts-crafts,for-her,80,official-for-her-explicit-v1:official_body_proximity,OFFICIAL_BODY_PROXIMITY,ερ κασετινες αγορια κοριτσια kids scrunchies κορδελες πακετα δωρων πακετα δωρων γυναικεια σετ παιδικα σετ gift card χονδρικη επικοινωνια αναζητηση αναζητηση λογαριασμος καλαθι 0 περισσοτερα αρχικ,https://www.vintageneedle.gr/products/vintage-needle-gift-card,BODY_CONTEXT_REQUIRES_MANUAL_REVIEW,
