type,actionId,merchantId,giftCardId,expected,value,evidenceCandidate,evidenceScore,evidenceSources,evidenceUrls,rationale
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb7hz7e000k04iywfxqpaau,cmtb7hz7e000k04iywfxqpaau,cmtb7hzca000l04iybffdjgu7,Unforgettable Experience Gift Cards in Greece,Explore Messinia,Explore Messinia - Outdoor activities,195,GIFT_OG_SITE_NAME|HOME_OG_SITE_NAME,https://exploremessinia.com/|https://exploremessinia.com/giftcard/,Use the brand portion of the identical official site-name signal from both pages.
UPDATE_CARD_TITLE,update-card-title:cmtb7hzca000l04iybffdjgu7,cmtb7hz7e000k04iywfxqpaau,cmtb7hzca000l04iybffdjgu7,Unforgettable Experience Gift Cards in Greece,Explore Messinia Gift Card,Explore Messinia - Outdoor activities,195,GIFT_OG_SITE_NAME|HOME_OG_SITE_NAME,https://exploremessinia.com/|https://exploremessinia.com/giftcard/,Use the brand portion of the identical official site-name signal from both pages.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb7i4fg001a04iyu5nzeowe,cmtb7i4fg001a04iyu5nzeowe,cmtb7i4k6001b04iyd3jlw4se,Wellness Gift Cards,Om Home,Om Home,230,GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME,https://www.omhomestudio.com/|https://www.omhomestudio.com/giftcard,Replace a generic card category with the official business identity.
UPDATE_CARD_TITLE,update-card-title:cmtb7i4k6001b04iyd3jlw4se,cmtb7i4fg001a04iyu5nzeowe,cmtb7i4k6001b04iyd3jlw4se,"Wellness Gift Cards | Crete, Om Home",Om Home Gift Card,Om Home,230,GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME,https://www.omhomestudio.com/|https://www.omhomestudio.com/giftcard,Replace a generic card category with the official business identity.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb780lh005odkiyslzjq17k,cmtb780lh005odkiyslzjq17k,cmtb780qd005pdkiy9ptikri3,Αγόρασε μία Δωροκάρτα,Dazzeal,Dazzeal,255,GIFT_LOGO_ALT|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_TITLE,https://dazzeal.gr/|https://dazzeal.gr/index.php?route=account%2Fvoucher,Replace voucher-form copy with the official identity.
UPDATE_CARD_TITLE,update-card-title:cmtb780qd005pdkiy9ptikri3,cmtb780lh005odkiyslzjq17k,cmtb780qd005pdkiy9ptikri3,Αγόρασε μία Δωροκάρτα,Dazzeal Gift Card,Dazzeal,255,GIFT_LOGO_ALT|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_TITLE,https://dazzeal.gr/|https://dazzeal.gr/index.php?route=account%2Fvoucher,Replace voucher-form copy with the official identity.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb6upwi001r3giymvuh6njo,cmtb6upwi001r3giymvuh6njo,cmtb6uq1p001s3giyrbtdkh3t,Αγοράστε μία Δωροεπιταγή - Gifts 4 All,Gifts 4 All,Gifts 4 All,255,GIFT_LOGO_ALT|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_TITLE,https://www.gifts4all.com.gr/|https://www.gifts4all.com.gr/account/voucher,Retain only the corroborated merchant identity.
UPDATE_CARD_TITLE,update-card-title:cmtb6uq1p001s3giyrbtdkh3t,cmtb6upwi001r3giymvuh6njo,cmtb6uq1p001s3giyrbtdkh3t,Αγοράστε μία Δωροεπιταγή - Gifts 4 All,Gifts 4 All Gift Card,Gifts 4 All,255,GIFT_LOGO_ALT|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_TITLE,https://www.gifts4all.com.gr/|https://www.gifts4all.com.gr/account/voucher,Retain only the corroborated merchant identity.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb782qf005ydkiyrxvghjux,cmtb782qf005ydkiyrxvghjux,cmtb782wo005zdkiyoydj8owp,Αγοράστε μία Δωροκάρτα,Fifth Element,Fifth Element - Adventure Store,170,HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_TITLE,https://www.fifthelement.gr/,Use the brand portion of the official organization and logo identity.
UPDATE_CARD_TITLE,update-card-title:cmtb782wo005zdkiyoydj8owp,cmtb782qf005ydkiyrxvghjux,cmtb782wo005zdkiyoydj8owp,Αγοράστε μία Δωροκάρτα,Fifth Element Gift Card,Fifth Element - Adventure Store,170,HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_TITLE,https://www.fifthelement.gr/,Use the brand portion of the official organization and logo identity.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb789nc006vdkiyyrzeqiov,cmtb789nc006vdkiyyrzeqiov,cmtb789sx006wdkiy2dhrh3x9,Δωροεπιταγές,Must Men Fashion,Must Men Fashion,355,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_OG_SITE_NAME|HOME_TITLE,https://mustmenfashion.gr/|https://mustmenfashion.gr/voucher-purchase,Replace a generic plural label with the official merchant identity.
UPDATE_CARD_TITLE,update-card-title:cmtb789sx006wdkiy2dhrh3x9,cmtb789nc006vdkiyyrzeqiov,cmtb789sx006wdkiy2dhrh3x9,Δωροεπιταγές,Must Men Fashion Gift Card,Must Men Fashion,355,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_OG_SITE_NAME|HOME_TITLE,https://mustmenfashion.gr/|https://mustmenfashion.gr/voucher-purchase,Replace a generic plural label with the official merchant identity.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4ym53001qsciyl81j3zu5,cmta4ym53001qsciyl81j3zu5,cmta4ymbf001rsciyxe7d8lyq,Δωροκάρτα - Karfitsomenos Gatos,Karfitsomenos Gatos,Karfitsomenos Gatos,280,GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME|HOME_TITLE,https://karfitsomenosgatos.gr/|https://karfitsomenosgatos.gr/gift-card/,Separate merchant identity from product type.
UPDATE_CARD_TITLE,update-card-title:cmta4ymbf001rsciyxe7d8lyq,cmta4ym53001qsciyl81j3zu5,cmta4ymbf001rsciyxe7d8lyq,Δωροκάρτα - Karfitsomenos Gatos,Karfitsomenos Gatos Gift Card,Karfitsomenos Gatos,280,GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME|HOME_TITLE,https://karfitsomenosgatos.gr/|https://karfitsomenosgatos.gr/gift-card/,Separate merchant identity from product type.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4yyrf0038sciyxex3eik0,cmta4yyrf0038sciyxex3eik0,cmta4yyxo0039sciy0650z05i,Δωροκάρτα - Patousaki Shoes,Patousaki Shoes,Patousaki Shoes,330,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_OG_SITE_NAME,https://www.patousakishoes.gr/|https://www.patousakishoes.gr/product-tag/giftcard/?srsltid,Separate merchant identity from product type.
UPDATE_CARD_TITLE,update-card-title:cmta4yyxo0039sciy0650z05i,cmta4yyrf0038sciyxex3eik0,cmta4yyxo0039sciy0650z05i,Δωροκάρτα - Patousaki Shoes,Patousaki Shoes Gift Card,Patousaki Shoes,330,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_OG_SITE_NAME,https://www.patousakishoes.gr/|https://www.patousakishoes.gr/product-tag/giftcard/?srsltid,Separate merchant identity from product type.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb6v1hi003h3giyzn8glzoz,cmtb6v1hi003h3giyzn8glzoz,cmtb6v1m7003i3giyor8l91p3,ΔΩΡΟΚΑΡΤΑ - Pregnancy-gifts.gr,Pregnancy Gifts,Pregnancy Gifts,305,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_OG_SITE_NAME,https://pregnancy-gifts.gr/|https://pregnancy-gifts.gr/product-category/wps_wgm_giftcard/,Use the official identity without the product prefix or domain suffix.
UPDATE_CARD_TITLE,update-card-title:cmtb6v1m7003i3giyor8l91p3,cmtb6v1hi003h3giyzn8glzoz,cmtb6v1m7003i3giyor8l91p3,ΔΩΡΟΚΑΡΤΑ - Pregnancy-gifts.gr,Pregnancy Gifts Gift Card,Pregnancy Gifts,305,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_OG_SITE_NAME,https://pregnancy-gifts.gr/|https://pregnancy-gifts.gr/product-category/wps_wgm_giftcard/,Use the official identity without the product prefix or domain suffix.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4z43r003usciyabwwtw93,cmta4z43r003usciyabwwtw93,cmta4z49k003vsciyj7ag8khc,Δωροκάρτα - Studio Fix,Studiofix,Studiofix,255,GIFT_JSONLD_ORGANIZATION|GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME,https://studiofix.gr/|https://studiofix.gr/gift-cards/,Use the official site identity without the product prefix.
UPDATE_CARD_TITLE,update-card-title:cmta4z49k003vsciyj7ag8khc,cmta4z43r003usciyabwwtw93,cmta4z49k003vsciyj7ag8khc,Δωροκάρτα - Studio Fix,Studiofix Gift Card,Studiofix,255,GIFT_JSONLD_ORGANIZATION|GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME,https://studiofix.gr/|https://studiofix.gr/gift-cards/,Use the official site identity without the product prefix.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4z7n90048sciy1ngsw7es,cmta4z7n90048sciy1ngsw7es,cmta4z7uf0049sciyu0lkupmq,Δωροκάρτα - Vibrant Beauty,Vibrant Beauty,Vibrant Beauty,245,GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_OG_SITE_NAME|HOME_TITLE,https://vibrantbeauty.gr/|https://vibrantbeauty.gr/product/giftcard/?srsltid,Separate merchant identity from product type.
UPDATE_CARD_TITLE,update-card-title:cmta4z7uf0049sciyu0lkupmq,cmta4z7n90048sciy1ngsw7es,cmta4z7uf0049sciyu0lkupmq,Δωροκάρτα - Vibrant Beauty,Vibrant Beauty Gift Card,Vibrant Beauty,245,GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_OG_SITE_NAME|HOME_TITLE,https://vibrantbeauty.gr/|https://vibrantbeauty.gr/product/giftcard/?srsltid,Separate merchant identity from product type.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4z5jo0040sciyob5ul4bs,cmta4z5jo0040sciyob5ul4bs,cmta4z5vh0041sciye1uhquaq,Δωροκάρτα – Uba | Clothing & Massage Oils,Uba,Uba | Clothing & Massage Oils,195,GIFT_OG_SITE_NAME|HOME_OG_SITE_NAME,https://www.uba.gr/|https://www.uba.gr/product/gift-card/,Use the brand portion of the matching official site-name signal.
UPDATE_CARD_TITLE,update-card-title:cmta4z5vh0041sciye1uhquaq,cmta4z5jo0040sciyob5ul4bs,cmta4z5vh0041sciye1uhquaq,Δωροκάρτα – Uba | Clothing & Massage Oils,Uba Gift Card,Uba | Clothing & Massage Oils,195,GIFT_OG_SITE_NAME|HOME_OG_SITE_NAME,https://www.uba.gr/|https://www.uba.gr/product/gift-card/,Use the brand portion of the matching official site-name signal.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4ya8v000esciy4fwqlr55,cmta4ya8v000esciy4fwqlr55,cmta4yafm000fsciycmpn7qlk,Δωροκάρτα Best Wines - Κάβα κρασιών Best Wines,Best Wines,Best Wines,330,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_OG_SITE_NAME|HOME_TITLE,https://bestwines.gr/|https://bestwines.gr/product-category/giftcard/?srsltid=AfmBOorPTKZRWNhABKCQUXSrPxAv9W43KmTtSrizZ1TS_otC3EEjsNbL,Remove product and SEO wording from the merchant identity.
UPDATE_CARD_TITLE,update-card-title:cmta4yafm000fsciycmpn7qlk,cmta4ya8v000esciy4fwqlr55,cmta4yafm000fsciycmpn7qlk,Δωροκάρτα Best Wines - Κάβα κρασιών Best Wines,Best Wines Gift Card,Best Wines,330,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_OG_SITE_NAME|HOME_TITLE,https://bestwines.gr/|https://bestwines.gr/product-category/giftcard/?srsltid=AfmBOorPTKZRWNhABKCQUXSrPxAv9W43KmTtSrizZ1TS_otC3EEjsNbL,Remove product and SEO wording from the merchant identity.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4yfnr0010sciyekibu4i4,cmta4yfnr0010sciyekibu4i4,cmta4yfvk0011sciyi5zwgnhr,Δωροκάρτα Evilio Home,Evilio Home,Evilio Home,295,GIFT_JSONLD_BRAND|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|HOME_LOGO_ALT|HOME_OG_SITE_NAME|HOME_TITLE,https://eviliohome.gr/|https://eviliohome.gr/products/giftcard-evilio-home?srsltid=AfmBOoqB2Q-o7MU5Fwy8lw78XHBOyQ2WrcnqwiCxCzPHMAErwjg52GTS,Separate merchant identity from product type.
UPDATE_CARD_TITLE,update-card-title:cmta4yfvk0011sciyi5zwgnhr,cmta4yfnr0010sciyekibu4i4,cmta4yfvk0011sciyi5zwgnhr,Δωροκάρτα Evilio Home,Evilio Home Gift Card,Evilio Home,295,GIFT_JSONLD_BRAND|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|HOME_LOGO_ALT|HOME_OG_SITE_NAME|HOME_TITLE,https://eviliohome.gr/|https://eviliohome.gr/products/giftcard-evilio-home?srsltid=AfmBOoqB2Q-o7MU5Fwy8lw78XHBOyQ2WrcnqwiCxCzPHMAErwjg52GTS,Separate merchant identity from product type.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4yrrv002esciypbuxrrtw,cmta4yrrv002esciypbuxrrtw,cmta4yryo002fsciyhkz02ixr,Δωροκάρτα Love Generation,Love Generation,Love Generation,305,GIFT_JSONLD_ORGANIZATION|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME|HOME_TITLE,https://lovegeneration.gr/|https://lovegeneration.gr/shop/gift-card/gift-card/,Separate merchant identity from product type.
UPDATE_CARD_TITLE,update-card-title:cmta4yryo002fsciyhkz02ixr,cmta4yrrv002esciypbuxrrtw,cmta4yryo002fsciyhkz02ixr,Δωροκάρτα Love Generation,Love Generation Gift Card,Love Generation,305,GIFT_JSONLD_ORGANIZATION|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME|HOME_TITLE,https://lovegeneration.gr/|https://lovegeneration.gr/shop/gift-card/gift-card/,Separate merchant identity from product type.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb6v4em003x3giyg8ll7r7u,cmtb6v4em003x3giyg8ll7r7u,cmtb6v4jr003y3giytfu9ztox,Δωροκάρτα Spaghetti Lab,Spaghetti Lab,Spaghetti Lab,305,GIFT_JSONLD_BRAND|GIFT_JSONLD_ORGANIZATION|GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME|HOME_TITLE,https://spaghettilab.gr/|https://spaghettilab.gr/products/gift-card,Separate merchant identity from product type.
UPDATE_CARD_TITLE,update-card-title:cmtb6v4jr003y3giytfu9ztox,cmtb6v4em003x3giyg8ll7r7u,cmtb6v4jr003y3giytfu9ztox,Gift Card Δωροκάρτα Spaghetti Lab | Το Πιο Νόστιμο Δώρο ...,Spaghetti Lab Gift Card,Spaghetti Lab,305,GIFT_JSONLD_BRAND|GIFT_JSONLD_ORGANIZATION|GIFT_OG_SITE_NAME|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME|HOME_TITLE,https://spaghettilab.gr/|https://spaghettilab.gr/products/gift-card,Separate merchant identity from product type.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4z8an004asciy12oao0hi,cmta4z8an004asciy12oao0hi,cmta4z8gh004bsciyrey9tw17,Δωροκάρτα Vip Art,VIP Art,VIP Art,195,GIFT_OG_SITE_NAME|HOME_OG_SITE_NAME,https://vipart.gr/|https://vipart.gr/product-category/dora-axesoyar/dorokarta-vipart-giftcard/,Use the official site-name styling without the product prefix.
UPDATE_CARD_TITLE,update-card-title:cmta4z8gh004bsciyrey9tw17,cmta4z8an004asciy12oao0hi,cmta4z8gh004bsciyrey9tw17,Δωροκάρτα Vip Art,VIP Art Gift Card,VIP Art,195,GIFT_OG_SITE_NAME|HOME_OG_SITE_NAME,https://vipart.gr/|https://vipart.gr/product-category/dora-axesoyar/dorokarta-vipart-giftcard/,Use the official site-name styling without the product prefix.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4ydov000ssciyj77w8hqs,cmta4ydov000ssciyj77w8hqs,cmta4ydvb000tsciyww37i2fq,Δωροκάρτα Πλυντηρίου - Cityzen,Cityzen,Cityzen,305,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_TITLE,https://www.cityzen.com.gr/|https://www.cityzen.com.gr/carwash_giftcard/,Restore the official merchant identity and retain the service context in the card title.
UPDATE_CARD_TITLE,update-card-title:cmta4ydvb000tsciyww37i2fq,cmta4ydov000ssciyj77w8hqs,cmta4ydvb000tsciyww37i2fq,Δωροκάρτα Πλυντηρίου - Cityzen,Cityzen Car Wash Gift Card,Cityzen,305,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_TITLE,https://www.cityzen.com.gr/|https://www.cityzen.com.gr/carwash_giftcard/,Restore the official merchant identity and retain the service context in the card title.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4yf3d000ysciy2zdlqyzw,cmta4yf3d000ysciy2zdlqyzw,cmta4yfe1000zsciy02ejjqqf,Ηλεκτρονική Δωροκάρτα - SportCafe,SportCafe,SportCafe,355,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_OG_SITE_NAME|HOME_TITLE,https://el.sportcafe.gr/|https://el.sportcafe.gr/egift-card/,Separate merchant identity from delivery format and product type.
UPDATE_CARD_TITLE,update-card-title:cmta4yfe1000zsciy02ejjqqf,cmta4yf3d000ysciy2zdlqyzw,cmta4yfe1000zsciy02ejjqqf,Ηλεκτρονική Δωροκάρτα - SportCafe,SportCafe Gift Card,SportCafe,355,GIFT_JSONLD_ORGANIZATION|GIFT_LOGO_ALT|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_LOGO_ALT|HOME_OG_SITE_NAME|HOME_TITLE,https://el.sportcafe.gr/|https://el.sportcafe.gr/egift-card/,Separate merchant identity from delivery format and product type.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb6v0pz003d3giypgi6p23y,cmtb6v0pz003d3giypgi6p23y,cmtb6v0uz003e3giyj7if68dc,Ηλεκτρονική Δωροκάρτα PlanToys,PlanToys Greece,PlanToys Greece,205,GIFT_JSONLD_ORGANIZATION|HOME_JSONLD_ORGANIZATION,https://www.plantoys.gr/|https://www.plantoys.gr/shop/%CE%B7%CE%BB%CE%B5%CE%BA%CF%84%CF%81%CE%BF%CE%BD%CE%B9%CE%BA%CE%AE-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-plantoys/,Use the specific official organization identity without the product prefix.
UPDATE_CARD_TITLE,update-card-title:cmtb6v0uz003e3giyj7if68dc,cmtb6v0pz003d3giypgi6p23y,cmtb6v0uz003e3giyj7if68dc,Ηλεκτρονική Δωροκάρτα PlanToys,PlanToys Greece Gift Card,PlanToys Greece,205,GIFT_JSONLD_ORGANIZATION|HOME_JSONLD_ORGANIZATION,https://www.plantoys.gr/|https://www.plantoys.gr/shop/%CE%B7%CE%BB%CE%B5%CE%BA%CF%84%CF%81%CE%BF%CE%BD%CE%B9%CE%BA%CE%AE-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-plantoys/,Use the specific official organization identity without the product prefix.
UPDATE_MERCHANT_NAME,update-merchant-name:cmtb77i700030dkiywamhlbp4,cmtb77i700030dkiywamhlbp4,cmtb77ibp0031dkiy5l84o2pl,Κάρτα δώρου για Εκδρομές - Περιηγήσεις στα Χανιά Κρήτης,Proper Cretan Guide,Proper Cretan Guide,280,GIFT_JSONLD_ORGANIZATION|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME,https://propercretanguide.gr/|https://propercretanguide.gr/el/dorokarta-gia-ekdromi-diakopes-sta-chania/,Replace the product description with the official operator identity.
UPDATE_CARD_TITLE,update-card-title:cmtb77ibp0031dkiy5l84o2pl,cmtb77i700030dkiywamhlbp4,cmtb77ibp0031dkiy5l84o2pl,Κάρτα δώρου για Εκδρομές - Περιηγήσεις στα Χανιά Κρήτης,Proper Cretan Guide Gift Card,Proper Cretan Guide,280,GIFT_JSONLD_ORGANIZATION|GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME,https://propercretanguide.gr/|https://propercretanguide.gr/el/dorokarta-gia-ekdromi-diakopes-sta-chania/,Replace the product description with the official operator identity.
UPDATE_MERCHANT_NAME,update-merchant-name:cmta4z1g8003ksciycb0lyswx,cmta4z1g8003ksciycb0lyswx,cmta4z1mm003lsciyvwvowjdm,Κάρτα Δώρου Εστιατόριο | Salero Restaurant,Salero Restaurant,Salero Restaurant,255,GIFT_OG_SITE_NAME|GIFT_TITLE|HOME_JSONLD_ORGANIZATION|HOME_OG_SITE_NAME,https://www.salero.gr/|https://www.salero.gr/gift-card,Remove the product descriptor from the official restaurant identity.
