bucket,reason,merchantName,giftCardTitle,officialUrl,finalUrl,httpStatus,hasOfficialSource,officialSourceCount,officialSourceUrl
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Flowmassage","Gift Card - Flow Massage","https://flowmassage.gr/gift-cards/","https://flowmassage.gr/gift-cards/","200","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Gavalasjewelry","ΔΩΡΟΚΑΡΤΕΣ Αρχεία","https://gavalasjewelry.gr/product-category/gift-cards/","https://gavalasjewelry.gr/product-category/gift-cards/","200","false","0",""
"ERROR","HTTP_403","Goldandwhite","Gift Card - Gold and White | Χειροποίητα Κοσμήματα","https://goldandwhite.gr/shop/gift-card-karta-dorou-2/","https://goldandwhite.gr/shop/gift-card-karta-dorou-2/","403","false","0",""
"ERROR","HTTP_403","Harmony Spa","Gift Card - δωροκαρτα","https://harmony-spa.gr/giftcard/","https://harmony-spa.gr/giftcard/","403","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Himalayatravel","Gift Voucher Archives - himalayatravel","https://himalayatravel.gr/category/gift-voucher-gr/","https://himalayatravel.gr/category/gift-voucher-gr/","200","false","0",""
"REVIEW","NO_STRONG_GIFT_CARD_EVIDENCE","Hlcpro","Gift Card Gold – HLC Pro by Health Laser Clinic","https://hlcpro.gr/","https://hlcpro.gr/","200","false","0",""
"ERROR","HTTP_403","Intersport","ΙNTERSPORT e-Gift Card!","https://www.intersport.gr/el/gift-cards/","https://www.intersport.gr/el/gift-cards/","403","false","0",""
"ERROR","HTTP_403","Koukidabookstore","Δωροκάρτα / Gift Card ΚΟΥΚΙΔΑ","https://koukidabookstore.gr/product/dorokarta-gift-card-koykida/","https://koukidabookstore.gr/product/dorokarta-gift-card-koykida/","403","false","0",""
"REVIEW","NO_STRONG_GIFT_CARD_EVIDENCE","LIAKOPOULOS Brands Store","GIFTCARD 100 (Δωροκάρτα)","https://www.liakopoulos-store.gr/","https://liakopoulos-store.gr/","200","false","0",""
"ERROR","HTTP_403","Laaloo","GIFT CARD - Παιδικά ρούχα για αγόρια & κορίτσια","https://laaloo.gr/product/gift-card/","https://laaloo.gr/product/gift-card/","403","false","0",""
"ERROR","HTTP_404","Littlesubmarine","Littlesubmarine Gift Card","https://www.littlesubmarine.gr/gift-card-baby-swimming/","https://littlesubmarine.gr/gift-card-baby-swimming/","404","false","0",""
"REVIEW","NO_STRONG_GIFT_CARD_EVIDENCE","Lovefashionpoint","Lovefashionpoint Gift Card","https://lovefashionpoint.gr/","https://lovefashionpoint.gr/","200","false","0",""
"ERROR","HTTP_403","Luxurymassage","Gift Card - Luxury Massage Athens","https://luxurymassage.gr/product/gift-card/","https://luxurymassage.gr/product/gift-card/","403","false","0",""
"ERROR","FETCH_ERROR:TypeError","Marose","Gift Card - MAROSE – Κέντρο Αισθητικής Θέρμη","https://marose.gr/gift-card/","https://marose.gr/gift-card/","","false","0",""
"ERROR","HTTP_403","Massageinn","Gift Card - Massage services in Thessaloniki","https://massageinn.gr/dorokarta/","https://massageinn.gr/dorokarta/","403","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Massaha","Massaha Gift Card","https://www.massaha.gr/gift-card","https://www.massaha.gr/gift-card","200","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Mediwellkalamata","Mediwellkalamata Gift Card","https://www.mediwellkalamata.gr/giftcard/","https://www.mediwellkalamata.gr/giftcard/","200","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Mentortravel","Gift card | Δωροκάρτα","https://www.mentortravel.gr/gift-card-2","https://www.mentortravel.gr/gift-card-2","200","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Mfbeautysalon","Δωροκάρτα","https://www.mfbeautysalon.gr/giftcard.html","https://www.mfbeautysalon.gr/giftcard.html","200","false","0",""
"ERROR","HTTP_403","Naira","Naira Gift Card","https://naira.gr/gift-card/","https://naira.gr/gift-card/","403","false","0",""
"ERROR","HTTP_403","Petiteboutique","GIFT CARD ΔΩΡΟΕΠΙΤΑΓΗ – P❤️B petite boutique","https://petiteboutique.gr/product/gift-card-doroepitagi/","https://petiteboutique.gr/product/gift-card-doroepitagi/","403","false","0",""
"ERROR","HTTP_403","Pharmagalaxy","Pharmagalaxy Gift Card","https://pharmagalaxy.gr/product/gift-card/","https://pharmagalaxy.gr/product/gift-card/","403","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Proteas Blu Resort","Proteas Blu Resort Gift Card","https://www.proteasbluresort.gr/gift-voucher/","https://www.proteasbluresort.gr/gift-voucher/","200","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Santi","Gift Card - Δωροκάρτα – Εναλλακτικές Θεραπείες","https://santi.gr/giftcard/","https://santi.gr/giftcard/","200","false","0",""
"ERROR","HTTP_403","Skynn","Skynn Gift Card","https://skynn.gr/product/gift-card/","https://skynn.gr/product/gift-card/","403","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Sorelia","Gift Card - Sorelia Jewelry","https://www.sorelia.gr/gift-card","https://www.sorelia.gr/gift-card","200","false","0",""
"ERROR","FETCH_ERROR:AbortError","Sports Direct Greece","Sports Direct Greece Gift Card","https://www.sportsdirect.gr/accessories/gift-card","https://www.sportsdirect.gr/accessories/gift-card","","false","0",""
"ERROR","FETCH_ERROR:TypeError","Sunsandclouds","Sunsandclouds Gift Card","https://sunsandclouds.gr/product-category/gift-cards/","https://sunsandclouds.gr/product-category/gift-cards/","","false","0",""
"ERROR","HTTP_403","Tartarooga","Giftcard, Δωροκάρτα","https://tartarooga.gr/product/giftcard/","https://tartarooga.gr/product/giftcard/","403","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Thamon","Gift Card – Thamon","https://www.thamon.gr/gift-card/","https://www.thamon.gr/gift-card/","200","false","0",""
"REVIEW","NO_STRONG_PURCHASE_OR_VALUE_EVIDENCE","Theocreations","Δωροκάρτα","https://theocreations.gr/dorokarta/","https://theocreations.gr/dorokarta/","200","false","0",""
"ERROR","HTTP_403","Thescentlab","E-Gift Card","https://thescentlab.gr/shop/face-and-body/e-gift-card/","https://thescentlab.gr/shop/face-and-body/e-gift-card/","403","false","0",""
"ERROR","HTTP_403","ThinkFit.gr","Δωροκάρτα Think Gift","https://thinkfit.gr/product/giftcard/","https://thinkfit.gr/product/giftcard/","403","false","0",""
"ERROR","FETCH_ERROR:TypeError","Travelagency","ΤΑΞΙΔΙΩΤΙΚΗ ΔΩΡΟΕΠΙΤΑΓΗ","https://travelagency.gr/tour/gift-card/","https://travelagency.gr/tour/gift-card/","","false","0",""
"ERROR","HTTP_403","Tsakirismallas","Gift card - Δωροκαρτα","https://www.tsakirismallas.gr/el-gr/GiftCard?tmp=frt2&tmc=giftcard","https://www.tsakirismallas.gr/el-gr/GiftCard?tmp=frt2&tmc=giftcard","403","false","0",""
"ERROR","HTTP_403","Vasilitakidswear","Δωροκάρτα - Vasilita Kidswear - παιδική μόδα","https://vasilitakidswear.gr/product/gift-card/","https://vasilitakidswear.gr/product/gift-card/","403","false","0",""
"ERROR","HTTP_403","Vivliopoleiopataki","Vivliopoleiopataki Gift Card","https://vivliopoleiopataki.gr/giftcard","https://vivliopoleiopataki.gr/giftcard","403","false","0",""
"ERROR","HTTP_403","Websupplies","GIFTCARD | Websupplies.gr","https://www.websupplies.gr/giftcard?q=gift%20card","https://www.websupplies.gr/giftcard?q=gift%20card","403","false","0",""
"ERROR","HTTP_403","You","eGift Card","https://www.you.gr/egift-card/egift-card","https://www.you.gr/egift-card/egift-card","403","false","0",""
