bucket,reason,domain,merchantName,possibleOfficialUrl,title,score,occurrences,notes,sourceFiles
SAFE,greek_domain_direct_gift_url_and_text,dioptra.gr,Κάνε δώρο σε έναν φίλο/φίλη σου,https://www.dioptra.gr/category/gift-card-info,Κάνε δώρο σε έναν φίλο/φίλη σου,55,1,Δωροκάρτα Διόπτρα για τους αγαπημένους σας. < Χάρισε μία ηλεκτρονική ... Επίλεξε αυτή που θέλεις και χάρισε αμέτρητες επιλογές σε βιβλία και e-books!,data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,edenred.gr,Ticket Compliments,https://www.edenred.gr/etaireies/ticket-compliments-gift-card,Δωροκάρτα Ticket Compliments,100,5,Χαρίστε ένα έξυπνο δώρο στους ανθρώπους σας με τη δωροκάρτα Ticket Compliments. Ανακαλύψτε τη δωροκάρτα ... Ticket Restaurant · MyBenefits · Spendeo · Ticket ...,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,electronet.gr,Όροι και Προϋποθέσεις Προωθητικής Ενέργειας «LG OLED ...,https://www.electronet.gr/sites/default/files/sites/default/files/custom/LG-GX-OLED-TVs-Goulandris-Gift-Cards-oroi.pdf?srsltid=AfmBOorsQRz6lmfGCU5MrzVeEtmDiUslhnUX39-SAKfBxYRsQ6k5Xz7s,Όροι και Προϋποθέσεις Προωθητικής Ενέργειας «LG OLED ...,55,1,"Η Δωροκάρτα εκδίδεται από το Ίδρυμα Βασίλη & Ελίζας Γουλανδρή στην Αθήνα ... Ελλάδα και συγκεκριμένα στην απώτερη μητρική εταιρεία της, LG Electronics Inc.",data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,enerwave.gr,Customer Service,https://www.enerwave.gr/en/customer-service/faq-eko-easter-promo/can-i-transfer-the-gift-vouchers-to-someone-else-/,Customer Service,55,1,The EKO Gift Voucher is strictly personal and non‑transferable. ... The voucher is issued to the EKO Smile mobile number that you designate in your application.,data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,fashioncity-outlet.gr,Κέρδισε δωροεπιταγή -20% από τον Μουστάκα,https://www.fashioncity-outlet.gr/moystakas-giftcard/,Κέρδισε δωροεπιταγή -20% από τον Μουστάκα,100,3,Fashion City Outlet · ΤΟ OUTLET · ΘΕΣΕΙΣ ΕΡΓΑΣΙΑΣ · CONCEPT ... δωροεπιταγή -20% από τον Μουστάκα. Αυτό το Σάββατο 9 Δεκεμβρίου ...,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,find.gr,The Art Lab - Workshops,https://www.find.gr/p/17816707/the-art-lab-workshops-dorokarta-axias-100eur,The Art Lab - Workshops - Δωροκάρτα αξίας 100,85,1,"Inner Lotus & Spa – Yoga, Massage & Ολιστική Ευεξία - Δωροκάρτα αξίας 100€. από ...",data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,fruugo.gr,"12-piece jewelry gift box, necklace, earrings, ring, cardboard ...",https://www.fruugo.gr/12-piece-jewelry-gift-box-necklace-earrings-ring-cardboard-round-gift-card/p-482586788-1002597518?language=en,"12-piece jewelry gift box, necklace, earrings, ring, cardboard ...",60,6,"Shop 12-piece jewelry gift box, necklace, earrings, ring, cardboard round gift card. One of many items available from our Gift Boxes & Tins department here ...",data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,gateaux.com.gr,"50 Sets Gift Certificates For Business, Blank Kraft Gift Cards",https://www.gateaux.com.gr/Certificates-For-Business-Blank-Kraft-Gift-Cards-t-1312544,"50 Sets Gift Certificates For Business, Blank Kraft Gift Cards",100,3,"50 Sets Gift Certificates For Business, Blank Kraft Gift Cards · Each Set Includes One Blank Kraft Paper Certificate (5.9x2.36 Inches) And A Matching Envelope ( ...",data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,glami.gr,Silenzio Δωροκάρτα αξίας 75,https://www.glami.gr/silenzio/silenzio-dorokarta-axias-75-eur-12393100/,Silenzio Δωροκάρτα αξίας 75,80,1,Silenzio Δωροκάρτα αξίας 75 € ... Nike Sportswear Nike Icon AIR Force 1 Card Wallet 92800648980. One size.,data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,iefimerida.gr,Cityzen: Δωροκάρτα για πλύσιμο αυτοκινήτου ή βιολογικό ...,https://www.iefimerida.gr/aytokinito/cityzen-dorokarta-gia-plysimo-aytokinitoy-i-biologiko-katharismo,Cityzen: Δωροκάρτα για πλύσιμο αυτοκινήτου ή βιολογικό ...,80,1,... Δωροκάρτα για πλύσιμο αυτοκινήτου ή βιολογικό καθαρισμό. Cityzen Parking. Πρόσθεσε το iefimerida.gr ως προτιμώμενη πηγή στη ...,data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,ifadishop.gr,Pall Mall Barbers Fitzrovia Luxury Wet Shave Gift Voucher,https://ifadishop.gr/Voucher-Gift-For-Men-Pall-Mall-Barbers-Australia-269483,Pall Mall Barbers Fitzrovia Luxury Wet Shave Gift Voucher,85,1,Luxury Wet Shave Gift Voucher - Gift For Men - Pall Mall Barbers Australia ... Direct from vendor: Usually ships within 3 business days. 10. Not ...,data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,ioannasnotebook.gr,3+1 Λόγοι που μια δωροκάρτα είναι το καλύτερο δώρο για ...,https://www.ioannasnotebook.gr/31-logoi-poy-mia-dorokarta-einai-to-kaly/,3+1 Λόγοι που μια δωροκάρτα είναι το καλύτερο δώρο για ...,80,1,"Χαρίζοντας μια δωροκάρτα, δίνεται στους αγαπημένους σας αυτό που πραγματικά θέλουν αλλά και την ευκαιρία ... Δώρα/GiftsΧριστούγεννα/Christmas.",data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,istionclub.gr,Why a Get a Room! Gift Card is the Only Present to Give This Year ...,https://istionclub.gr/why-a-get-a-room-gift-card-is-the-only-present-to-give-this-year/,Why a Get a Room! Gift Card is the Only Present to Give This Year ...,100,1,"Gift Card is the Only Present to Give This Year. Amidst the cerulean Aegean Sea and the azure sky of the Cyclades Islands, the Sunway luxury suites in Santorini ...",data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,kois.e-pragma.gr,Δωροκάρτα 100€ | KOIS OPTICS,https://kois.e-pragma.gr/el/products/dorokarta-100eur?v=7682,Δωροκάρτα 100€ | KOIS OPTICS,80,1,"Λιακάδα, στυλ και το τέλειο ζευγάρι γυαλιών. Αυτή η δωροκάρτα επιτρέπει στους φιλους σας να επιλέξουν τα γυαλιά ηλίου που θα λατρέψουν όλη τη σεζόν.",data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,kouponia365.gr,Theros Jewels,https://kouponia365.gr/kouponia-katigories/dorokartes/page/2/,Theros Jewels Δωροκάρτα Gift Card,,1,"Aggregator source page: https://kouponia365.gr/kouponia-katigories/dorokartes/page/2/ | Official URL not exposed by source; resolve from merchant name before verification. | Source evidence: Theros Jewels δωροκάρτα Gift Card για άμεση αποστολή στο e-mail! Η ιδανική επιλογή για δώρο. Διαθέσιμη με τιμή 20€, 30€, 40€, 50€ και 100€.",DB:QUEUED:cmt9s0kkc0005kciyksogqosl | DB:QUEUED:cmt9rr2yh000hzkiyraoi1fit | DB:QUEUED:cmt9s0kgj0004kciyu047mn2y | DB:QUEUED:cmt9s0ko60006kciyy7h7gxow | DB:QUEUED:cmt9s0krs0007kciyj5q804us | DB:QUEUED:cmt9s0l9c000ckciywpza87j6 | DB:QUEUED:cmt9s0ln2000gkciyl4fp05qv | DB:QUEUED:cmt9s0lr3000hkciyomsgk1jf | DB:QUEUED:cmt9s0lxv000jkciyvvmxc54c | DB:QUEUED:cmt9s0m13000kkciy9c0mt2b7
SAFE,greek_domain_direct_gift_url_and_text,ktmpatras.gr,Προϊόντα με ετικέτα: 'gift card giftcard καρτα δωρου δωροκαρτα',https://ktmpatras.gr/gift-card-giftcard-%CE%BA%CE%B1%CF%81%CF%84%CE%B1-%CE%B4%CF%89%CF%81%CE%BF%CF%85-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%B1%CF%81%CF%84%CE%B1,Προϊόντα με ετικέτα: 'gift card giftcard καρτα δωρου δωροκαρτα',100,2,KTM Patras. MobileHeaderLinksStandalone Popup ... Προϊόντα με ετικέτα: 'gift card giftcard καρτα δωρου δωροκαρτα' ... © 2026 KTM Patras. Powered by nopCommerce.,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,ladylike.gr,Anytime Home Economic= €30 Δωροκάρτα IKEA + έως και €100 ...,https://www.ladylike.gr/publi/anytime-home-economic-30-dwrokarta-ikea-ews-kai-100-xamhlotera-asfalistra-to-xrono/,Anytime Home Economic= €30 Δωροκάρτα IKEA + έως και €100 ...,80,1,Anytime Home Economic= €30 Δωροκάρτα IKEA + έως και €100 χαμηλότερα ασφάλιστρα το χρόνο! ... Chic by the Sea: This Season's Swimwear Trends · ΕΠΙΚΑΙΡΟΤΗΤΑ.,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv
SAFE,greek_domain_direct_gift_url_and_text,lego.storegreece.gr,Lego,https://www.lego.storegreece.gr/upiresies/gift-cards/e-gift-card/?srsltid=AfmBOoqTiDLstS5UtdAowIuCCwD3HoowSDQtBZOo0JEbqlXrS0FvSOHn,e-Gift Card,100,2,Ψάχνετε το καλύτερο δώρο; Αγοράστε μία e-Gift Card από το lego.storegreece.gr ώστε το αγαπημένο σας πρόσωπο να επιλέξει ένα μοναδικό δώρο που θα λατρέψει!,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,linguee.gr,Ελληνική μετάφραση,https://www.linguee.gr/%CE%B1%CE%B3%CE%B3%CE%BB%CE%B9%CE%BA%CE%AC-%CE%B5%CE%BB%CE%BB%CE%B7%CE%BD%CE%B9%CE%BA%CE%AC/%CE%BC%CE%B5%CF%84%CE%AC%CF%86%CF%81%CE%B1%CF%83%CE%B7/gift+voucher.html,gift voucher - Ελληνική μετάφραση,80,2,Πολλές ενδεικτικές μεταφρασμένες προτάσεις που περιέχουν «gift voucher» – Ελληνο-Αγγλικό λεξικό και μηχανή αναζήτησης για ελληνικές μεταφράσεις.,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,lvk.ufr.gr,5€ | Γυμναστήριο LVK PREMIUM FITNESS Ν. Σμύρνη,https://lvk.ufr.gr/reward-archives/5euro-giftcard-wheel/,Δωροκάρτα 5€ | Γυμναστήριο LVK PREMIUM FITNESS Ν. Σμύρνη,100,5,"ΕΙΔΙΚΟΙ ΟΡΟΙ REWARD LVK PREMIUM FITNESS - ΓΥΜΝΑΣΤΗΡΙΟ Ν. ΣΜΥΡΝH. ΠΕΡΙΓΡΑΦΗ REWARD. Δωροκάρτα 5€ Για ό,τι θέλεις να αποκτήσεις είτε συνδρομή είτε συνεδρίες.",data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,maccosmetics.gr,FAQ,https://www.maccosmetics.gr/en-e-gr/giftcards/faq,Gift Cards - FAQ,100,5,Gift Card amounts are not included in the calculation of shipping and handling charges. ... © MAKE-UP ART COSMETICS. ALL WORLDWIDE RIGHTS RESERVED. PRIVACY ...,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,magento2dev.wellshaved.gr,Wellshaved,https://magento2dev.wellshaved.gr/dorokarta-wellshaved,Δωροκάρτα Wellshaved,85,1,Δωροκάρτα Wellshaved. Αν θέλετε να προσφέρετε ... Skin Food · After Shave Balm · After Shave Lotion ... Δωροκάρτα. Αρχική; Δωροκάρτα. Αγορά κατά. Επιλογες Αγορων.,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv
SAFE,greek_domain_direct_gift_url_and_text,markakis.gr,Δώρα για βαφτιστήρια,https://www.markakis.gr/el/blog-9268/dwra-gia-vaftistiria-dwrokarta-gualia-269002?srsltid=AfmBOorTN9igx3CK3QLDxaBDdD4lXsu1DKxBtIYDm45a32jv8jSfPlQ_,Δώρα για βαφτιστήρια | Δωροκάρτα Γυαλιά Οπτικά Μαρκάκης,80,6,"Δωροκάρτα: Δώρο για το βαφτιστήρι στα φυσικά καταστήματα ''Οπτικά Κέντρα Μαρκάκης'' & Markakis White Eyewear. Στα Οπτικά Κέντρα Μαρκάκης, οι ...",data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,neakriti.gr,Δωροκάρτα: It's a perfect Easter gift για το βαφτιστήρι σου!,https://www.neakriti.gr/oikonomia/epiheiriseis/2112303_dorokarta-its-perfect-easter-gift-gia-baftistiri-soy,Δωροκάρτα: It's a perfect Easter gift για το βαφτιστήρι σου!,80,6,Δωροκάρτα: It's a perfect Easter gift για το ... Διαθέσιμη στα φυσικά καταστήματα ''Οπτικά Κέντρα Μαρκάκης'' & Markakis White Eyewear.,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,neolaia.gr,Δωροκάρτα (art pass) - εισιτήρια,https://www.neolaia.gr/neolaia-tickets/event/2024-05-31/dorokarta-art-pass/,Δωροκάρτα (art pass) - εισιτήρια,80,6,Δωροκάρτα (art pass). ΚΘΒΕ. 31 Μαΐ. ΕΙΣΙΤΗΡΙΑ. Δωροκάρτα ΚΘΒΕ. Art ... Skiathos Garden Theatre. Skiathos Audio Tour. 27. ΙΟΥΝ. 2026. Πολλαπλοί ...,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,piraeusbank.gr,€1000 Gift Voucher for Linens with COCO-MAT Sleep System,https://www.piraeusbank.gr/en/individuals/personal-banking/exclusive-benefits/coco-mat-sleep-system-voucher,€1000 Gift Voucher for Linens with COCO-MAT Sleep System,80,8,"Exclusive offer for Personal Banking customers who are members of Yellow, €1000 gift voucher for bed linen with every complete sleep COCO-MAT system ... Outdoor ...",data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,queen.gr,ΚΕΡΔΙΣΕ gift card 300€ από το answear.gr και fashion tips ...,https://www.queen.gr/diagwnismoi/story/269293/kerdise-gift-card-300-apo-to-answear-gr-kai-fashion-tips-gia-na-dimiourgiseis-to-diko-sou-styl,ΚΕΡΔΙΣΕ gift card 300€ από το answear.gr και fashion tips ...,100,3,ΚΕΡΔΙΣΕ gift card 300€ από το answear.gr και fashion tips για να δημιουργήσεις το δικό σου στυλ!,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,royalgrandhotel.gr,Why a Get a Room! Gift Card is the Only Present to Give This Year,https://royalgrandhotel.gr/why-a-get-a-room-gift-card-is-the-only-present-to-give-this-year/,Why a Get a Room! Gift Card is the Only Present to Give This Year,100,5,Gift Card is the Only Present to Give This Year. Amidst the cerulean ... Copyright © ROYAL GRAND HOTEL . All Rights Reserved. Designed by Techmaximal ...,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,sagiakos.gr,ΓΥΝΑΙΚΕΙΑ e,https://sagiakos.gr/proionta/gynaikeia/gynaikeia-dwra/gynaikeia-e-gift-card?srsltid,ΓΥΝΑΙΚΕΙΑ e- Gift Card,100,1,ΓΥΝΑΙΚΕΙΑ E- GIFT CARD. SAGIAKOS · ΓΥΝΑΙΚΕΙΑ Δώρα; ΓΥΝΑΙΚΕΙΑ e- Gift Card ... BOSS SHOES · CROCS · DKNY · DR.MARTENS · GEOX · LACOSTE · MEXX · POLO RALPH LAUREN ...,data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\review-universe-v1\still-review.csv
SAFE,greek_domain_direct_gift_url_and_text,santowines.gr,eShop EU,https://santowines.gr/gift-cards-eu/manufacturer/eu,Gift Cards - eShop EU,100,5,"Gift cards are only applicable for eShop use, cannot be combined with any other products (thus should be purchased in a separate order) and they can only be ...",data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
